TransactionNo,Date,ProductNo,ProductName,Price,Quantity,CustomerNo,Country,TotalRevenue,MonthYear
578243,2019-11-23,23077,Doughnut Lip Gloss,6.19,40,13448.0,United Kingdom,247.60000000000002,2019-11-01
575868,2019-11-11,84946,Antique Silver T-Light Glass,11.53,12,12985.0,United Kingdom,138.35999999999999,2019-11-01
576303,2019-11-14,23355,Hot Water Bottle Keep Calm,15.32,1,15532.0,United Kingdom,15.32,2019-11-01
541256,2019-01-16,22356,Charlotte Bag Pink Polkadot,11.12,10,13048.0,United Kingdom,111.19999999999999,2019-01-01
570888,2019-10-13,22742,Make Your Own Playtime Card Kit,13.27,6,17509.0,United Kingdom,79.62,2019-10-01
563906,2019-08-21,23170,Regency Tea Plate Roses,11.94,12,14246.0,United Kingdom,143.28,2019-08-01
558628,2019-06-30,23254,Childrens Cutlery Dolly Girl,14.5,8,12626.0,Germany,116.0,2019-06-01
541971,2019-01-24,22104,Mirror Mosaic Candle Plate,11.92,4,16971.0,United Kingdom,47.68,2019-01-01
562427,2019-08-04,84875B,Green Square Compact Mirror,11.53,1,17267.0,United Kingdom,11.53,2019-08-01
555564,2019-06-05,82578,Kitchen Metal Sign,10.81,8,15005.0,United Kingdom,86.48,2019-06-01
548993,2019-04-05,22364,Glass Jar Digestive Biscuits,12.86,24,12753.0,Japan,308.64,2019-04-01
556182,2019-06-09,22522,Childs Garden Fork Blue,11.12,1,16892.0,United Kingdom,11.12,2019-06-01
538382,2018-12-12,22111,Scottie Dog Hot Water Bottle,15.32,1,17218.0,United Kingdom,15.32,2018-12-01
557468,2019-06-20,21165,Beware Of The Cat Metal Sign,11.98,1,16713.0,United Kingdom,11.98,2019-06-01
559816,2019-07-12,21802,Christmas Tree Heart Decoration,10.68,1,15816.0,United Kingdom,10.68,2019-07-01
539750,2018-12-21,84029E,Red Woolly Hottie White Heart,18.93,215,13750.0,United Kingdom,4069.95,2018-12-01
547809,2019-03-25,22525,Childrens Garden Gloves Pink,11.53,2,12748.0,United Kingdom,23.06,2019-03-01
572219,2019-10-21,21929,Jumbo Bag Pink Vintage Paisley,6.19,1,17463.0,United Kingdom,6.19,2019-10-01
578119,2019-11-23,47585A,Pink Fairy Cake Cushion Cover,7.24,6,17769.0,United Kingdom,43.44,2019-11-01
552662,2019-05-10,21930,Jumbo Storage Bag Skulls,15.33,2,13662.0,United Kingdom,30.66,2019-05-01
573347,2019-10-30,23439,Hand Warmer Red Love Heart,12.4,2,13137.0,United Kingdom,24.8,2019-10-01
541969,2019-01-24,84836,Zinc Metal Heart Decoration,12.77,1,17969.0,United Kingdom,12.77,2019-01-01
579167,2019-11-28,23356,Love Hot Water Bottle,6.19,3,16800.0,United Kingdom,18.57,2019-11-01
575477,2019-11-09,22578,Wooden Star Christmas Scandinavian,11.1,1,14477.0,United Kingdom,11.1,2019-11-01
571246,2019-10-14,22186,Red Star Card Holder,12.25,3,17750.0,United Kingdom,36.75,2019-10-01
552951,2019-05-12,72349B,Set/6 Purple Butterfly T-Lights,12.4,2,14988.0,United Kingdom,24.8,2019-05-01
540353,2019-01-06,22961,Jam Making Set Printed,11.74,3,13764.0,United Kingdom,35.22,2019-01-01
552674,2019-05-10,21928,Jumbo Bag Scandinavian Blue Paisley,7.24,2,15674.0,United Kingdom,14.48,2019-05-01
561008,2019-07-22,22147,Feltcraft Butterfly Hearts,11.74,12,18150.0,United Kingdom,140.88,2019-07-01
557669,2019-06-22,22630,Dolly Girl Lunch Box,12.25,12,12674.0,France,147.0,2019-06-01
542527,2019-01-28,22799,Sweetheart Wire Fruit Bowl,18.96,4,17188.0,United Kingdom,75.84,2019-01-01
544186,2019-02-16,84969,Box Of 6 Assorted Colour Teaspoons,13.62,1,15186.0,United Kingdom,13.62,2019-02-01
577844,2019-11-22,23168,Classic Cafe Sugar Dispenser,13.62,3,16844.0,United Kingdom,40.86,2019-11-01
536412,2018-12-01,22086,Paper Chain Kit 50'S Christmas,13.27,1,17920.0,United Kingdom,13.27,2018-12-01
571669,2019-10-18,22983,Card Billboard Font,10.68,12,17758.0,United Kingdom,128.16,2019-10-01
581015,2019-12-07,22410,Money Box Housekeeping Design,7.24,12,13949.0,United Kingdom,86.88,2019-12-01
538894,2018-12-14,22144,Christmas Craft Little Friends,12.4,2,16161.0,United Kingdom,24.8,2018-12-01
564974,2019-08-31,23066,Small Deco Jewellery Stand,27.3,1,16974.0,United Kingdom,27.3,2019-08-01
555853,2019-06-07,22161,Heart Decoration Rustic Hanging,10.44,1,14375.0,United Kingdom,10.44,2019-06-01
536592,2018-12-01,22553,Plasters In Tin Skulls,13.69,1,16592.0,United Kingdom,13.69,2018-12-01
574750,2019-11-07,22470,Heart Of Wicker Large,13.27,12,17164.0,United Kingdom,159.24,2019-11-01
552563,2019-05-10,21716,Boys Vintage Tin Seaside Bucket,12.4,32,17597.0,United Kingdom,396.8,2019-05-01
571212,2019-10-14,22972,Children's Spaceboy Mug,11.94,2,12856.0,United Kingdom,23.88,2019-10-01
569129,2019-09-30,23328,Set 6 School Milk Bottles In Crate,14.09,2,15034.0,United Kingdom,28.18,2019-09-01
566580,2019-09-13,23344,Jumbo Bag 50'S Christmas,6.19,10,12822.0,United Kingdom,61.900000000000006,2019-09-01
565513,2019-09-05,82482,Wooden Picture Frame White Finish,13.27,12,14401.0,United Kingdom,159.24,2019-09-01
549524,2019-04-08,22884,Number Tile Vintage Font 5,14.48,1,16524.0,United Kingdom,14.48,2019-04-01
548373,2019-03-30,22027,Tea Party Birthday Card,11.1,1,12373.0,United Kingdom,11.1,2019-03-01
543619,2019-02-10,21929,Jumbo Bag Pink Vintage Paisley,6.13,10,16842.0,United Kingdom,61.3,2019-02-01
